nome_original,nome_normalizado,frequencia,prevalencia,incluida_modelo,motivo
Wi-Fi: 22 Mbps,wi-fi: 22 mbps,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Secadora Gratuito,secadora gratuito,17,0.003827966674172484,False,fora do intervalo 10-90% ou não top10 por frequência
Máquina de lavar no prédio por Gratuito,maquina de lavar no predio por gratuito,14,0.003152443143436163,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 32 polegadas com TV a cabo premium,tv de 32 polegadas com tv a cabo premium,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Quintal compartilhado,quintal compartilhado,8,0.0018013960819635217,False,fora do intervalo 10-90% ou não top10 por frequência
"Piscina interna compartilhada - disponível por estação do ano, disponível em horários específicos","piscina interna compartilhada - disponivel por estacao do ano, disponivel em horarios especificos",2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Carregador de veículos elétricos,carregador de veiculos eletricos,11,0.0024769196126998424,False,fora do intervalo 10-90% ou não top10 por frequência
"TV com Netflix, Amazon Prime Video, Apple TV, Chromecast, Disney+, HBO Max","tv com netflix, amazon prime video, apple tv, chromecast, disney+, hbo max",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"Local para guardar as roupas: closet, guarda-roupa e cômoda","local para guardar as roupas: closet, guarda-roupa e comoda",21,0.0047286647151542445,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 50 polegadas com TV a cabo, Netflix, TV a cabo premium, Aparelho de DVD, Amazon Prime Video","tv de alta definicao de 50 polegadas com tv a cabo, netflix, tv a cabo premium, aparelho de dvd, amazon prime video",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão elétrico Other de aço inoxidável,fogao eletrico other de aco inoxidavel,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Forno elwtrolux de aço inoxidável,forno elwtrolux de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 60 polegadas,tv de 60 polegadas,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (52 Mbps),wi-fi rapido (52 mbps),2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Brastemp  de aço inoxidável,forno normal brastemp  de aco inoxidavel,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"Jacuzzi privativa: disponível o ano todo, disponível 24 horas","jacuzzi privativa: disponivel o ano todo, disponivel 24 horas",5,0.001125872551227201,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Atlas,forno normal atlas,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (583 Mbps),wi-fi rapido (583 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"Local para guardar as roupas: closet, closet e guarda-roupa","local para guardar as roupas: closet, closet e guarda-roupa",3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira consul,geladeira consul,61,0.013735645124971853,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 43 polegadas com Netflix, Roku","tv de alta definicao de 43 polegadas com netflix, roku",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (125 Mbps),wi-fi rapido (125 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Mônaco Plus,fogao a gas monaco plus,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 42 polegadas com TV a cabo premium,tv de alta definicao de 42 polegadas com tv a cabo premium,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito em local coberto na propriedade:2 vagas,estacionamento gratuito em local coberto na propriedade:2 vagas,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Fischer,forno normal fischer,18,0.004053141184417924,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 43 polegadas,tv de 43 polegadas,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a lenha Other,fogao a lenha other,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 42 polegadas com TV a cabo,tv de 42 polegadas com tv a cabo,8,0.0018013960819635217,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira BOSCH,geladeira bosch,4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Outro de aço inoxidável,fogao a gas outro de aco inoxidavel,4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
Forno a gás,forno a gas,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Miele,fogao a gas miele,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 42 polegadas com Netflix, TV a cabo","tv de alta definicao de 42 polegadas com netflix, tv a cabo",2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Berço: disponível mediante solicitação,berco: disponivel mediante solicitacao,13,0.0029272686331907227,False,fora do intervalo 10-90% ou não top10 por frequência
Aquecimento central,aquecimento central,30,0.006755235307363206,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 45 polegadas,tv de 45 polegadas,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 42 polegadas com Netflix,tv de 42 polegadas com netflix,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 50 polegadas com TV a cabo,tv de 50 polegadas com tv a cabo,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
HDTV com Amazon Prime Video,hdtv com amazon prime video,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Philco de aço inoxidável,fogao a gas philco de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 43 polegadas com TV a cabo premium,tv de alta definicao de 43 polegadas com tv a cabo premium,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 32 polegadas com Amazon Prime Video, Netflix, TV a cabo","tv de alta definicao de 32 polegadas com amazon prime video, netflix, tv a cabo",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Mosquiteiro,mosquiteiro,19,0.004278315694663364,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Otro,fogao a gas otro,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 65 polegadas com Netflix,tv de alta definicao de 65 polegadas com netflix,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Eletrolux 593litros,geladeira eletrolux 593litros,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão Cooktop 5 bocas Fischer  de aço inoxidável,fogao cooktop 5 bocas fischer  de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Brastemp 84 lt embutido (mod. BOC84AE) de aço inoxidável,forno brastemp 84 lt embutido (mod. boc84ae) de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Lareira interna: elétrica,lareira interna: eletrica,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Frigobar Midea 93 litros,geladeira frigobar midea 93 litros,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão Fogão elétrico de 2 bocas,fogao fogao eletrico de 2 bocas,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Forno elétrico ,forno forno eletrico,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão por indução Other,fogao por inducao other,18,0.004053141184417924,False,fora do intervalo 10-90% ou não top10 por frequência
Carregador de veículos elétricos: nível 2,carregador de veiculos eletricos: nivel 2,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Philco,fogao a gas philco,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Fischer,forno fischer,10,0.002251745102454402,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (293 Mbps),wi-fi rapido (293 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Brastemp de aço inoxidável,forno brastemp de aco inoxidavel,8,0.0018013960819635217,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 55 polegadas,tv de 55 polegadas,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Electrolux IF55,geladeira electrolux if55,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Brastemp BOA84AERNA,forno normal brastemp boa84aerna,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Cervejeira-adega climatizada,geladeira cervejeira-adega climatizada,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"Churrasqueira: a carvão, a lenha","churrasqueira: a carvao, a lenha",15,0.003377617653681603,False,fora do intervalo 10-90% ou não top10 por frequência
Garagem residencial gratuita na propriedade:3 vagas,garagem residencial gratuita na propriedade:3 vagas,9,0.002026570592208962,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o canal,vista para o canal,20,0.004503490204908804,False,fora do intervalo 10-90% ou não top10 por frequência
Lareira interna: etanol,lareira interna: etanol,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Serviços de limpeza: incluso na sua estadia,servicos de limpeza: incluso na sua estadia,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito em garagem na propriedade: 4 vagas,estacionamento gratuito em garagem na propriedade: 4 vagas,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Piscina privativa - disponível 24 horas,piscina privativa - disponivel 24 horas,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 46 polegadas,tv de alta definicao de 46 polegadas,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão Cooktop mondial novo,fogao cooktop mondial novo,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito na propriedade: 2 vagas,estacionamento gratuito na propriedade: 2 vagas,9,0.002026570592208962,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (93 Mbps),wi-fi rapido (93 mbps),2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito em local coberto na propriedade:1 vaga,estacionamento gratuito em local coberto na propriedade:1 vaga,8,0.0018013960819635217,False,fora do intervalo 10-90% ou não top10 por frequência
TV com TV a cabo premium,tv com tv a cabo premium,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão por indução Philco,fogao por inducao philco,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Churrasqueira: elétrica,churrasqueira: eletrica,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Forno ficher de aço inoxidável,forno ficher de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Acesso particular à praia — em frente à praia,acesso particular a praia  em frente a praia,9,0.002026570592208962,False,fora do intervalo 10-90% ou não top10 por frequência
"HDTV com HBO Max, Netflix, TV a cabo premium, Disney+","hdtv com hbo max, netflix, tv a cabo premium, disney+",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi: 34 Mbps,wi-fi: 34 mbps,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Outro,fogao a gas outro,14,0.003152443143436163,False,fora do intervalo 10-90% ou não top10 por frequência
Churrasqueira privativa,churrasqueira privativa,16,0.0036027921639270434,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 55 polegadas com Netflix,tv de 55 polegadas com netflix,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"Piscina externa compartilhada - disponível o ano todo, disponível em horários específicos, piscina de natação","piscina externa compartilhada - disponivel o ano todo, disponivel em horarios especificos, piscina de natacao",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Xampu Dove,xampu dove,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Condicionador Dove,condicionador dove,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 32 polegadas com TV a cabo,tv de 32 polegadas com tv a cabo,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Esmaltec de aço inoxidável,forno normal esmaltec de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 32 polegadas com Chromecast,tv de 32 polegadas com chromecast,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"HDTV com Disney+, Netflix","hdtv com disney+, netflix",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"HDTV com Amazon Prime Video, Apple TV, Disney+, Fire TV, HBO Max, Netflix","hdtv com amazon prime video, apple tv, disney+, fire tv, hbo max, netflix",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"Piscina compartilhada - disponível o ano todo, disponível em horários específicos","piscina compartilhada - disponivel o ano todo, disponivel em horarios especificos",6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
Piano,piano,9,0.002026570592208962,False,fora do intervalo 10-90% ou não top10 por frequência
Garagem residencial gratuita na propriedade,garagem residencial gratuita na propriedade,15,0.003377617653681603,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 40 polegadas com Netflix, TV a cabo premium","tv de alta definicao de 40 polegadas com netflix, tv a cabo premium",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (170 Mbps),wi-fi rapido (170 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"HDTV com Netflix, TV a cabo premium","hdtv com netflix, tv a cabo premium",2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento pago em garagem na propriedade: 1 vaga,estacionamento pago em garagem na propriedade: 1 vaga,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Muller ,forno muller,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 42 polegadas com Chromecast, Netflix, TV a cabo","tv de alta definicao de 42 polegadas com chromecast, netflix, tv a cabo",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 43 polegadas com Aparelho de DVD, Netflix","tv de alta definicao de 43 polegadas com aparelho de dvd, netflix",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Toca-discos,toca-discos,5,0.001125872551227201,False,fora do intervalo 10-90% ou não top10 por frequência
Secadora no prédio por Pago,secadora no predio por pago,14,0.003152443143436163,False,fora do intervalo 10-90% ou não top10 por frequência
Churrasqueira compartilhada,churrasqueira compartilhada,7,0.0015762215717180816,False,fora do intervalo 10-90% ou não top10 por frequência
"HDTV com Amazon Prime Video, Netflix, Disney+","hdtv com amazon prime video, netflix, disney+",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"Cafeteira: máquina de espresso, Nespresso","cafeteira: maquina de espresso, nespresso",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 32 polegadas com TV a cabo premium,tv de alta definicao de 32 polegadas com tv a cabo premium,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"Piscina externa compartilhada - disponível o ano todo, aquecida, cobertura da piscina","piscina externa compartilhada - disponivel o ano todo, aquecida, cobertura da piscina",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira eletrolux com freezer,geladeira eletrolux com freezer,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito na entrada da propriedade: 1 vaga,estacionamento gratuito na entrada da propriedade: 1 vaga,12,0.002702094122945283,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 50 polegadas com Netflix, TV a cabo","tv de alta definicao de 50 polegadas com netflix, tv a cabo",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Sistema de som bose,sistema de som bose,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Videogame: Nintendo Wii,videogame: nintendo wii,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Sistema de som Air Track Samsung  com Bluetooth,sistema de som air track samsung  com bluetooth,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Consul Frost free,geladeira consul frost free,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Acesso particular à praia,acesso particular a praia,5,0.001125872551227201,False,fora do intervalo 10-90% ou não top10 por frequência
Churrasqueira compartilhada: a carvão,churrasqueira compartilhada: a carvao,11,0.0024769196126998424,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 32 polegadas com TV a cabo, Netflix","tv de alta definicao de 32 polegadas com tv a cabo, netflix",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (55 Mbps),wi-fi rapido (55 mbps),2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás ficher,fogao a gas ficher,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de 32 polegadas com Apple TV, TV a cabo","tv de 32 polegadas com apple tv, tv a cabo",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Continental Duplex 300L,geladeira continental duplex 300l,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás DE bancada 4 bocas de aço inoxidável,fogao a gas de bancada 4 bocas de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Forno Fischer com timer de aço inoxidável,forno forno fischer com timer de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 47 polegadas com Amazon Prime Video, Fire TV, Netflix","tv de alta definicao de 47 polegadas com amazon prime video, fire tv, netflix",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 42 polegadas com Netflix, TV a cabo premium","tv de alta definicao de 42 polegadas com netflix, tv a cabo premium",3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (203 Mbps),wi-fi rapido (203 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito na propriedade: 4 vagas,estacionamento gratuito na propriedade: 4 vagas,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 55 polegadas com Chromecast,tv de alta definicao de 55 polegadas com chromecast,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Laser tag,laser tag,5,0.001125872551227201,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi: 45 Mbps,wi-fi: 45 mbps,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Forno elétrico ,forno normal forno eletrico,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 50 polegadas com Netflix, HBO Max, Amazon Prime Video, Disney+, TV a cabo premium","tv de alta definicao de 50 polegadas com netflix, hbo max, amazon prime video, disney+, tv a cabo premium",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Brastemp,forno brastemp,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
TV com Chromecast,tv com chromecast,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
Piscina interna privativa - disponível 24 horas,piscina interna privativa - disponivel 24 horas,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 42 polegadas com TV a cabo,tv de alta definicao de 42 polegadas com tv a cabo,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
Caiaque,caiaque,4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
Sistema de som Sumay com Bluetooth,sistema de som sumay com bluetooth,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"Cafeteira: cafeteira elétrica, máquina de espresso","cafeteira: cafeteira eletrica, maquina de espresso",10,0.002251745102454402,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 47 polegadas com Netflix,tv de alta definicao de 47 polegadas com netflix,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Livros e brinquedos infantis para crianças de 2 a 5 anos de idade e Mais de 10 anos de idade,livros e brinquedos infantis para criancas de 2 a 5 anos de idade e mais de 10 anos de idade,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 50 polegadas com TV a cabo premium,tv de 50 polegadas com tv a cabo premium,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
"Serviços de limpeza disponíveis 4 horas por dia, todos os dias disponível a um custo extra","servicos de limpeza disponiveis 4 horas por dia, todos os dias disponivel a um custo extra",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 42 polegadas com Apple TV,tv de 42 polegadas com apple tv,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (114 Mbps),wi-fi rapido (114 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para a marina,vista para a marina,12,0.002702094122945283,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Mueller  de aço inoxidável,forno mueller  de aco inoxidavel,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 50 polegadas com HBO Max, Disney+, Netflix, TV a cabo, Amazon Prime Video, TV a cabo premium, Chromecast, Apple TV","tv de alta definicao de 50 polegadas com hbo max, disney+, netflix, tv a cabo, amazon prime video, tv a cabo premium, chromecast, apple tv",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (76 Mbps),wi-fi rapido (76 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Sabonete NIVEA  para o corpo,sabonete nivea  para o corpo,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Duplo,forno duplo,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Bosch,fogao a gas bosch,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Bosch ,forno normal bosch,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 55 polegadas com TV a cabo,tv de alta definicao de 55 polegadas com tv a cabo,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"Piscina (disponível por estação do ano, disponível em horários específicos)","piscina (disponivel por estacao do ano, disponivel em horarios especificos)",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"HDTV com Amazon Prime Video, Netflix","hdtv com amazon prime video, netflix",3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"Piscina interna compartilhada - disponível o ano todo, disponível em horários específicos, cobertura da piscina","piscina interna compartilhada - disponivel o ano todo, disponivel em horarios especificos, cobertura da piscina",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Quintal privado — não é totalmente cercado,quintal privado  nao e totalmente cercado,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"TV com Roku, Netflix","tv com roku, netflix",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Müller ,fogao a gas muller,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
"Serviços de limpeza disponíveis 8 horas por dia, todos os dias disponível a um custo extra","servicos de limpeza disponiveis 8 horas por dia, todos os dias disponivel a um custo extra",2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Serviços de limpeza: disponível a um custo extra,servicos de limpeza: disponivel a um custo extra,8,0.0018013960819635217,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (81 Mbps),wi-fi rapido (81 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Local para guardar as roupas: closet e closet,local para guardar as roupas: closet e closet,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o deserto,vista para o deserto,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Ar-condicionado portátil,ar-condicionado portatil,7,0.0015762215717180816,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 40 polegadas com Netflix, Amazon Prime Video","tv de alta definicao de 40 polegadas com netflix, amazon prime video",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 43 polegadas com TV a cabo,tv de 43 polegadas com tv a cabo,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Secadora na acomodação por Pago,secadora na acomodacao por pago,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 55 polegadas com Aparelho de DVD, Disney+, Amazon Prime Video, Netflix","tv de alta definicao de 55 polegadas com aparelho de dvd, disney+, amazon prime video, netflix",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 55 polegadas com Netflix, Roku","tv de alta definicao de 55 polegadas com netflix, roku",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 50 polegadas com Disney+, Netflix","tv de alta definicao de 50 polegadas com disney+, netflix",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (277 Mbps),wi-fi rapido (277 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 12 polegadas com TV a cabo,tv de alta definicao de 12 polegadas com tv a cabo,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 43 polegadas,tv de alta definicao de 43 polegadas,10,0.002251745102454402,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (151 Mbps),wi-fi rapido (151 mbps),2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
"Cafeteira: cafeteira elétrica, cafeteira francesa","cafeteira: cafeteira eletrica, cafeteira francesa",2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 43 polegadas com TV a cabo, Netflix","tv de alta definicao de 43 polegadas com tv a cabo, netflix",3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"Livros e brinquedos infantis para crianças de 0 a 2 anos de idade, 2 a 5 anos de idade, 5 a 10 anos de idade e Mais de 10 anos de idade","livros e brinquedos infantis para criancas de 0 a 2 anos de idade, 2 a 5 anos de idade, 5 a 10 anos de idade e mais de 10 anos de idade",4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Fischer elétrico,forno normal fischer eletrico,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 50 polegadas,tv de 50 polegadas,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
